Img_N,Experiment,Img_Nuclei_N,Cell_Type,Treatment,Replicate,Well,Cell_N,Un_Cell_Id,Nu_X,Nu_Y,Cell_Act_Cl,Cell_Orientation,Cell_Area,Cell_Perim,Cell_MaxL,Cell_MinL,WLR,Cell_Neighbour_N,Cell_1st_Nb_Dist,Cell_2nd_Nb_Dist,Nu_Clustering,Nu_1st_Nb_Dist,Nu_2nd_Nb_Dist,Nu_Area,DNA_IntI_Norm,Cell_Cycle,Cell_VEC_Norm,Junc_VEC_Norm,JCyR,J_N,Perc_Stb,Perc_Lin,Perc_Jag,STB_Index,Cy_NCH_IntI,Nu_NCH_IntI,tSNE_1,tSNE_2,NOTCH_Quadr,Nu_NOTCH_Fraction,Tot_NCH
842,D2R1,80,HAoEC,CTRL,1,B002,13,842_13,22.01442308,158.546875,Quiescent,60.85611335,10899,489.31,145.2008344,98.79716611,0.680417344,3,105.4808653,125.790442,0,110.9380336,145.8409829,1664,969.3079085,G0/G1,0.189842421,0.242942625,1.279706736,28,0,32.14285714,67.85714286,-51.78571429,1.883329511,0,-20.33198434,-5.525237061,Low,0,1.883329511
842,D2R1,80,HAoEC,CTRL,1,B002,14,842_14,478.5287056,170.5078288,Stressed,-84.99030921,7872,700.596,139.2288158,79.21421139,0.568949832,5,79.54338821,95.80967406,1,55.57612789,100.0547756,1916,1094.204505,G0/G1,0.401157107,0.338388982,0.843532311,37,2.702702703,16.21621622,81.08108108,-70.27027027,0,0,2.868968979,26.60162824,None,0,0
842,D2R1,80,HAoEC,CTRL,1,B002,15,842_15,719.5238095,172.9020252,Stressed,-21.6103965,13719,876.512,182.1036806,100.7452003,0.553229896,5,103.5807512,107.5214844,0,89.87448667,100.1946336,1827,1083.656928,G0/G1,0.387410471,0.344700768,0.88975594,50,0,20,80,-70,1506.067277,62.51480907,-19.63271748,2.992714003,Nuclear,0.039854343,1568.582086
842,D2R1,80,HAoEC,CTRL,1,B002,16,842_16,575.3433275,195.7642563,Stressed,63.76098686,10974,602.698,141.2506368,102.875147,0.728316341,7,95.80967406,110.8103636,0,100.0547756,119.7557007,1701,1076.127296,G0/G1,0.358295736,0.387231774,1.080760206,45,0,8.888888889,91.11111111,-86.66666667,50.67483017,9.650263339,-24.79043462,9.177007052,Low,0.159970964,60.32509351
842,D2R1,80,HAoEC,CTRL,1,B002,17,842_17,921.41505,198.0987654,Quiescent,16.73989638,9839,672.494,165.1124107,78.73894336,0.476880829,5,73.69318073,76.8248711,0,67.13431064,78.22765326,1701,929.4178391,G0/G1,0.36438967,0.309453395,0.849237562,35,2.857142857,2.857142857,94.28571429,-90,150.7345848,31.36664358,-30.02982412,1.475526607,Cytoplasmic,0.172248391,182.1012283
842,D2R1,80,HAoEC,CTRL,1,B002,18,842_18,283.1757062,204.3274011,Stressed,53.60602038,19355,718.952,165.9696333,154.2809269,0.929573223,7,114.4010981,137.0158436,0,112.2260851,145.5514118,3540,2224.289144,G2/M,0.356814169,0.339700348,0.952037161,51,1.960784314,9.803921569,88.23529412,-81.37254902,14.66550711,0,-21.29282578,16.55684305,Low,0,14.66550711
842,D2R1,80,HAoEC,CTRL,1,B002,19,842_19,778.0990712,241.0662539,Activated,-44.25708782,8484,662.564,112.1123601,109.235332,0.974337994,6,87.25165484,107.5214844,0,56.28665606,89.87448667,1615,1038.292316,G0/G1,0.442391045,0.466533652,1.054573002,39,2.564102564,2.564102564,94.87179487,-91.02564103,138.0818187,2.81060499,-26.06029841,8.360872313,Cytoplasmic,0.019948589,140.8924237
842,D2R1,80,HAoEC,CTRL,1,B002,20,842_20,920.4767956,265.2265193,Quiescent,-5.842139215,11264,600.392,176.7418498,91.49903371,0.517698744,5,76.8248711,108.5214123,0,67.13431064,133.4936826,1810,1001.378464,G0/G1,0.300652398,0.327749076,1.090126268,41,4.87804878,17.07317073,78.04878049,-64.63414634,308.7272599,19.72225538,-24.19023532,1.579318107,Cytoplasmic,0.060046535,328.4495153
842,D2R1,80,HAoEC,CTRL,1,B002,21,842_21,190.2290651,267.2210899,Stressed,54.77447323,19789,828.232,251.2010376,107.6175243,0.428411942,8,114.4010981,126.6975685,0,112.2260851,124.3590604,2257,1142.849337,G0/G1,0.27288741,0.365210351,1.338318801,71,4.225352113,8.450704225,87.32394366,-78.87323944,6.612283573,1.100282311,-19.6776851,3.608947309,Low,0.142660993,7.712565884
842,D2R1,80,HAoEC,CTRL,1,B002,22,842_22,731.3386905,272.397619,Stressed,38.99526523,7073,651.946,138.273185,79.4217976,0.574383223,6,80.84635774,87.25165484,0,56.28665606,99.77191449,1680,1042.253537,G0/G1,0.445385062,0.350722172,0.787458319,30,0,16.66666667,83.33333333,-75,7.138719782,0,-27.45844049,3.307359441,Low,0,7.138719782
842,D2R1,80,HAoEC,CTRL,1,B002,23,842_23,69.75291622,298.0540827,Activated,34.68577365,14305,626.456,156.958518,121.4431163,0.773727466,4,118.4899873,125.5388149,0,118.2150366,124.3590604,1886,1100.355942,G0/G1,0.323837085,0.325224644,1.004284744,51,3.921568627,11.76470588,84.31372549,-74.50980392,108.7590446,11.89756605,-20.68844034,7.192259363,Cytoplasmic,0.098606831,120.6566107
842,D2R1,80,HAoEC,CTRL,1,B002,24,842_24,504.590006,292.384106,Quiescent,40.64740408,10901,671.086,145.3062609,103.5973555,0.712958649,5,79.72572871,101.7852233,0,74.04308277,93.53899307,1661,1061.256998,G0/G1,0.356816482,0.381330278,1.068701412,44,0,9.090909091,90.90909091,-86.36363636,0.950576037,0,-25.78362068,8.386784971,Low,0,0.950576037
842,D2R1,80,HAoEC,CTRL,1,B002,25,842_25,439.5927483,327.84866,Stressed,53.69619093,13365,836.442,248.4268682,74.12465625,0.298376165,6,79.72572871,91.06461088,0,74.04308277,83.70002297,1903,1076.421638,G0/G1,0.37364074,0.386607971,1.034705077,59,3.389830508,15.25423729,81.3559322,-70.33898305,26.76093698,0,-30.24441156,-2.741269626,Low,0,26.76093698
842,D2R1,80,HAoEC,CTRL,1,B002,26,842_26,587.0338613,336.5718187,Stressed,-67.73238183,9494,737.704,156.9253106,103.2306937,0.657833292,7,85.791842,101.7852233,0,75.72067058,93.53899307,1831,1090.072687,G0/G1,0.573417702,0.540256465,0.942169143,37,5.405405405,16.21621622,78.37837838,-64.86486486,87.0998857,17.22178996,-27.07206243,5.632388069,Low,0.165083525,104.3216757
842,D2R1,80,HAoEC,CTRL,1,B002,27,842_27,355.9313215,330.3902185,Stressed,53.37068899,12839,623.806,159.5009696,107.9633222,0.676881917,5,91.06461088,93.22598618,0,83.70002297,88.7936114,1922,1091.716688,G0/G1,0.304408928,0.348952834,1.146329169,44,4.545454545,18.18181818,77.27272727,-63.63636364,0,0,-23.07216357,2.135892856,None,0,0
842,D2R1,80,HAoEC,CTRL,1,B002,28,842_28,661.6554994,349.426043,Stressed,74.39832247,11386,514.762,164.979724,89.21049523,0.540736116,5,80.84635774,85.791842,0,75.72067058,101.3116774,1582,1030.057803,G0/G1,0.36911148,0.388232008,1.051801501,32,3.125,28.125,68.75,-51.5625,80.37189287,2.908583164,-22.11243402,-12.12158441,Low,0.034925151,83.28047603
842,D2R1,80,HAoEC,CTRL,1,B002,29,842_29,791.0992815,352.291966,Quiescent,-59.42063039,9513,617.01,158.4997696,84.35470415,0.532207109,6,75.96480775,105.3511868,0,64.24357117,99.77191449,1531,1002.683802,G0/G1,0.303247142,0.346740524,1.143425529,35,2.857142857,31.42857143,65.71428571,-47.14285714,31.66649882,33.54491484,-22.17333722,-12.57924318,Low,0.51440251,65.21141367
842,D2R1,80,HAoEC,CTRL,1,B002,30,842_30,1045.738202,362.044382,Quiescent,-80.90084798,9832,686.042,206.7991607,67.3773277,0.32581045,3,76.28381563,136.8499044,0,79.08646765,153.8438259,1780,872.7646856,G0/G1,0.311594668,0.280625001,0.900609126,45,24.44444444,20,55.55555556,-21.11111111,231.8363928,64.90321189,-16.36043225,-22.10087173,Nuclear,0.218721097,296.7396047
842,D2R1,80,HAoEC,CTRL,1,B002,31,842_31,849.7725398,378.4584561,Quiescent,-51.27272494,10863,517.762,164.9029431,94.049799,0.570334266,6,75.96480775,119.7010334,0,64.24357117,123.6187483,1697,1029.829655,G0/G1,0.333205744,0.373372491,1.120546382,37,10.81081081,32.43243243,56.75675676,-29.72972973,8.006759763,0.696162373,-16.11829924,-12.45858853,Low,0.079991796,8.702922136
842,D2R1,80,HAoEC,CTRL,1,B002,32,842_32,972.6254603,392.1972646,Stressed,-67.57395908,15439,656.392,211.5017416,101.7820486,0.481235038,8,76.28381563,108.5214123,0,79.08646765,123.6187483,1901,1024.802583,G0/G1,0.307682802,0.369535449,1.201027314,41,9.756097561,19.51219512,70.73170732,-51.2195122,821.155307,12.05645841,-20.16381808,1.980306146,Cytoplasmic,0.014469861,833.2117655
842,D2R1,80,HAoEC,CTRL,1,B002,33,842_33,7.057692308,398.274359,Activated,89.55089995,3626,319.98,133.5904915,35.84661782,0.268332105,3,88.35308675,125.5388149,0,118.2150366,119.2956451,780,501.8515373,G0/G1,0.234425426,0.253478085,1.081273859,18,0,44.44444444,55.55555556,-33.33333333,0,0,-14.16533136,-25.30188558,None,0,0
842,D2R1,80,HAoEC,CTRL,1,B002,34,842_34,297.8190319,397.5264026,Stressed,26.08823914,15198,922.448,270.8332603,74.40604973,0.274730104,7,93.22598618,125.2143735,0,88.7936114,119.1625699,1818,1082.96808,G0/G1,0.283386869,0.356601686,1.25835642,67,5.970149254,17.91044776,76.11940299,-61.19402985,44.092241,0,-30.30791106,-3.897361789,Low,0,44.092241
842,D2R1,80,HAoEC,CTRL,1,B002,35,842_35,123.0872707,425.9977765,Activated,-41.61585444,14265,918.728,213.5743085,101.8097908,0.476694933,7,88.35308675,103.4292719,0,100.7974651,119.2956451,1799,1060.727247,G0/G1,0.281773717,0.343552902,1.219251053,64,6.25,32.8125,60.9375,-38.28125,13.5731899,0,-17.14964066,-1.160337584,Low,0,13.5731899
842,D2R1,80,HAoEC,CTRL,1,B002,36,842_36,603.3203082,432.2575674,Stressed,30.14253021,9400,466.106,138.3041506,88.44223973,0.639476396,5,96.1255652,104.3132375,0,97.06189193,97.7630471,1817,1056.138429,G0/G1,0.423626994,0.456221756,1.076942128,25,4,28,68,-50,155.5583127,22.28979921,-25.20609678,0.12913439,Cytoplasmic,0.125330536,177.8481119
842,D2R1,80,HAoEC,CTRL,1,B002,37,842_37,506.3870637,444.9681725,Stressed,24.20557812,14417,774.162,174.7624997,111.9003091,0.640299316,7,126.2944806,128.4462735,0,97.7630471,134.8275223,1948,1093.54552,G0/G1,0.401006126,0.465365748,1.160495358,52,9.615384615,3.846153846,86.53846154,-75,227.3070115,21.4394446,-20.2856939,4.409617672,Cytoplasmic,0.08618995,248.7464561
842,D2R1,80,HAoEC,CTRL,1,B002,38,842_38,709.8152531,457.4648258,Quiescent,82.96447756,10150,577.386,138.1202197,96.66880896,0.699888903,7,86.41305094,114.4480146,0,106.7226454,109.4375583,1521,988.1090571,G0/G1,0.350346031,0.356779837,1.018364148,39,2.564102564,17.94871795,79.48717949,-67.94871795,6.118730411,0,-23.53086943,2.703074118,Low,0,6.118730411
842,D2R1,80,HAoEC,CTRL,1,B002,39,842_39,209.6329375,477.6695922,Activated,0.692548058,13202,1228.122,198.0890245,116.4443821,0.587838637,4,87.16229543,103.4292719,0,100.7974651,101.6441777,1937,1078.271065,G0/G1,0.363882391,0.361223802,0.992693822,76,7.894736842,19.73684211,72.36842105,-54.60526316,98.12570373,0,-19.62690716,-0.58429889,Low,0,98.12570373
842,D2R1,80,HAoEC,CTRL,1,B002,40,842_40,873.813789,501.6434885,Stressed,-49.67532507,11015,693.64,221.4032665,68.89713456,0.311183912,6,64.42869965,69.5423744,0,64.96034192,66.86673735,1697,1022.736297,G0/G1,0.398836012,0.377582492,0.94671113,35,0,37.14285714,62.85714286,-44.28571429,56.64545664,2.879713058,-15.42662949,-20.10342188,Low,0.048378074,59.5251697
842,D2R1,80,HAoEC,CTRL,1,B002,41,842_41,806.9470626,501.6817301,Activated,-50.41182708,6480,534.628,163.2938509,54.4680008,0.333558187,4,64.42869965,86.41305094,0,66.86673735,106.7226454,1549,1006.780241,G0/G1,0.424747328,0.415250945,0.977642277,32,0,18.75,81.25,-71.875,4.93769747,0,-31.06984271,-5.40525463,Low,0,4.93769747
842,D2R1,80,HAoEC,CTRL,1,B002,42,842_42,1057.993541,515.3992954,Quiescent,41.80616622,10712,806.538,129.9013477,116.5072938,0.89689057,4,113.3158072,119.6779989,0,123.4286272,149.8881235,1703,897.7801806,G0/G1,0.33590961,0.325985399,0.970455709,39,25.64102564,10.25641026,64.1025641,-33.33333333,73.84930204,14.49053186,-14.87976279,-5.109980202,Low,0.164031686,88.3398339
842,D2R1,80,HAoEC,CTRL,1,B002,43,842_43,341.9964629,528.6488125,Activated,46.38402203,16260,673.532,183.911874,116.0588435,0.631056826,6,124.6994651,125.2143735,0,138.3644889,141.8414035,1979,1148.334451,G0/G1,0.395442178,0.397644176,1.005568445,44,2.272727273,20.45454545,77.27272727,-64.77272727,282.0192568,11.8493171,-18.90849359,4.312100515,Cytoplasmic,0.040321825,293.8685739
842,D2R1,80,HAoEC,CTRL,1,B002,44,842_44,623.1551247,528.5518006,Stressed,6.485021201,10353,577.698,157.9361068,87.37778338,0.553247672,5,96.1255652,105.1293234,0,90.24916273,98.31581398,1805,1048.791973,G0/G1,0.485600538,0.498644687,1.026861892,34,0,26.47058824,73.52941176,-60.29411765,475.8911417,270.0897989,-25.2470772,0.121572464,Nuclear,0.362059919,745.9809406
842,D2R1,80,HAoEC,CTRL,1,B002,45,842_45,908.3353293,556.6717474,Quiescent,-32.05772768,11130,609.73,174.3340353,89.25837856,0.511996286,6,69.5423744,119.6779989,0,64.96034192,115.3407241,1837,1069.873803,G0/G1,0.341931689,0.340026608,0.994428474,37,10.81081081,32.43243243,56.75675676,-29.72972973,93.36957358,18.2156558,-16.2376313,-12.60985746,Low,0.163244328,111.5852294
842,D2R1,80,HAoEC,CTRL,1,B002,46,842_46,183.3034934,575.8444323,Activated,18.90180972,14330,745.64,205.8254204,94.42115446,0.458743892,5,87.16229543,98.0055143,0,101.6441777,102.6526362,1832,1062.103772,G0/G1,0.405124959,0.365435253,0.902030953,47,17.0212766,51.06382979,31.91489362,10.63829787,368.8938581,1.40988785,1.307154347,-12.73613378,Cytoplasmic,0.003807382,370.3037459
842,D2R1,80,HAoEC,CTRL,1,B002,47,842_47,506.8418675,583.2996988,Stressed,29.16582359,19421,1065.352,286.203587,94.39943209,0.329833155,9,117.5306247,121.32102,0,128.5539037,132.2983848,1992,1098.629659,G0/G1,0.375763037,0.460001152,1.224178822,72,8.333333333,18.05555556,73.61111111,-56.25,16.38907446,1.157747775,-18.20833148,3.565439837,Low,0.065980481,17.54682223
842,D2R1,80,HAoEC,CTRL,1,B002,48,842_48,693.1553455,585.5156527,Stressed,-5.572790976,10446,851.436,181.9416248,77.82269249,0.427734404,6,102.9269394,105.1293234,0,90.24916273,112.7075645,1693,1020.043457,G0/G1,0.417349598,0.386037303,0.924973463,34,2.941176471,23.52941176,73.52941176,-58.82352941,354.0626538,44.65014136,-22.06999528,-12.47500919,Cytoplasmic,0.111985725,398.7127952
842,D2R1,80,HAoEC,CTRL,1,B002,49,842_49,98.51408451,633.7091008,Quiescent,37.90692312,13490,586.768,174.1590287,101.6411456,0.583611119,6,85.29585646,98.0055143,0,92.03672917,102.6526362,1846,1049.899016,G0/G1,0.397167609,0.34508306,0.868860028,44,9.090909091,31.81818182,59.09090909,-34.09090909,1000.536796,37.78455794,-16.45773262,-12.64172378,Cytoplasmic,0.036390042,1038.321354
842,D2R1,80,HAoEC,CTRL,1,B002,50,842_50,1039.779759,637.4766649,Quiescent,61.27558783,9534,578.552,118.0738575,107.2524498,0.908350519,3,113.3158072,116.0960243,0,123.4286272,134.9296191,1907,916.8780705,G0/G1,0.325988167,0.324259918,0.994698429,35,14.28571429,0,85.71428571,-71.42857143,331.2834975,58.61379437,-24.58171258,6.728823766,Cytoplasmic,0.150331371,389.8972919
842,D2R1,80,HAoEC,CTRL,1,B002,51,842_51,268.3623369,650.6426352,Stressed,-7.697153718,8898,577.59,146.8632967,87.73167478,0.597369641,5,84.38456648,119.9330326,0,68.48839248,113.2686099,1609,1028.6085,G0/G1,0.514011143,0.478641794,0.931189529,33,18.18181818,30.3030303,51.51515152,-18.18181818,428.6277718,45.7505455,-12.1465173,-11.42502589,Cytoplasmic,0.096443163,474.3783173
842,D2R1,80,HAoEC,CTRL,1,B002,52,842_52,776.6934728,661.1752614,Stressed,-12.34000527,21552,1132.46,259.8731831,118.0566647,0.454285676,8,102.9269394,143.140579,0,112.7075645,128.0365241,2773,1748.999492,G2/M,0.348155748,0.389774539,1.119540727,71,11.26760563,4.225352113,84.50704225,-71.12676056,16.46604098,1.943144888,-21.10725041,14.5960886,Low,0.105553005,18.40918587
842,D2R1,80,HAoEC,CTRL,1,B002,53,842_53,918.9559961,697.5401354,Stressed,-20.36731213,20183,1192.16,228.3460918,151.3150475,0.662656612,6,116.0960243,140.5806236,0,134.9296191,141.2681893,2068,1074.152506,G0/G1,0.326293556,0.328781538,1.007624981,71,15.49295775,12.67605634,71.83098592,-50,210.9144579,24.56075388,-15.84124501,5.075707802,Cytoplasmic,0.104302927,235.4752118
842,D2R1,80,HAoEC,CTRL,1,B002,54,842_54,403.3080544,701.7390167,Stressed,65.14628467,17478,778.392,160.8493345,144.548487,0.898657662,7,130.7669626,136.6379078,0,100.7215773,128.2550911,1912,1082.317802,G0/G1,0.331045493,0.401071175,1.211528881,40,7.5,20,72.5,-55,531.8321199,24.08842605,-16.95472283,1.960521625,Cytoplasmic,0.043330699,555.920546
842,D2R1,80,HAoEC,CTRL,1,B002,55,842_55,555.0855962,706.4881936,Stressed,8.848295878,13371,564.208,162.0502447,111.0970815,0.685571822,5,117.5306247,118.7869138,0,118.9924066,132.2983848,1694,1040.713404,G0/G1,0.380480977,0.430233828,1.130763046,35,0,8.571428571,91.42857143,-87.14285714,498.5537961,21.59186688,-23.73221933,8.405874017,Cytoplasmic,0.041511193,520.145663
842,D2R1,80,HAoEC,CTRL,1,B002,56,842_56,245.5401763,715.2166926,Stressed,-0.686427917,14226,782.398,197.4565411,99.24703474,0.502627232,6,84.38456648,96.71953696,0,68.48839248,102.7433938,1929,1038.368952,G0/G1,0.407302127,0.405514204,0.995610327,54,3.703703704,16.66666667,79.62962963,-67.59259259,1725.443107,150.2723429,-19.55675126,3.117269447,Nuclear,0.08011468,1875.71545
842,D2R1,80,HAoEC,CTRL,1,B002,57,842_57,70.72978177,721.4518614,Activated,35.50851249,10654,764.366,190.5333177,76.39323329,0.400944224,4,85.29585646,102.8048676,1,67.63015387,92.03672917,1558,978.1716622,G0/G1,0.366974615,0.370084193,1.008473551,51,1.960784314,9.803921569,88.23529412,-81.37254902,220.0793774,17.92437634,5.254107773,27.61537289,Cytoplasmic,0.075311318,238.0037538
842,D2R1,80,HAoEC,CTRL,1,B002,58,842_58,798.736914,787.2999545,Stressed,-64.33902056,15579,841.468,182.2855281,118.6851919,0.651094978,6,103.1366808,125.8999347,0,110.4134276,128.0365241,2197,1090.581607,G0/G1,0.352772224,0.41163621,1.166861171,48,8.333333333,8.333333333,83.33333333,-70.83333333,17.9149462,6.862455159,-20.10887615,4.476875068,Low,0.276964281,24.77740136
842,D2R1,80,HAoEC,CTRL,1,B002,59,842_59,351.7177161,788.2449306,Stressed,-18.02018044,14391,674.08,209.4967849,93.18325637,0.444795639,5,111.7529733,121.4019554,0,100.7215773,107.8009612,1874,1032.377644,G0/G1,0.34024787,0.407442094,1.197486096,50,2,8,90,-84,2.10778974,0,-28.62222474,0.500634497,Low,0,2.10778974
842,D2R1,80,HAoEC,CTRL,1,B002,60,842_60,71.45059412,789.0781739,Activated,24.64286316,17363,699.214,188.7335687,130.3761625,0.690794772,4,100.5799847,102.8048676,1,67.63015387,132.8030419,3198,2008.310609,G2/M,0.323760646,0.376062049,1.161543423,47,4.255319149,10.63829787,85.10638298,-75.53191489,9.551872984,0,-12.33393656,24.66616204,Low,0,9.551872984
842,D2R1,80,HAoEC,CTRL,1,B002,61,842_61,213.0600907,812.6910431,Stressed,27.15105093,8630,776.22,127.411072,98.68723269,0.774557746,7,96.71953696,132.9790654,0,102.7433938,123.1078396,1764,997.7011044,G0/G1,0.378274129,0.431180237,1.139861819,35,0,0,100,-100,6.483100653,2.23747617,-25.00474185,9.449730514,Low,0.256574332,8.720576823
842,D2R1,80,HAoEC,CTRL,1,B002,62,842_62,455.0044933,819.1138293,Stressed,-32.27446253,16131,859.824,265.8067841,91.70831867,0.345018728,6,93.37629592,111.7529733,0,86.95770433,87.99105674,2003,1041.85293,G0/G1,0.333075798,0.426814927,1.281434826,55,16.36363636,5.454545455,78.18181818,-59.09090909,73.43639284,16.00448613,-18.74024007,0.285806266,Low,0.178939276,89.44087897
842,D2R1,80,HAoEC,CTRL,1,B002,63,842_63,541.7803632,824.7343927,Stressed,-45.94081051,10771,718.602,202.5716911,73.1874019,0.361291361,4,59.74480454,104.6656932,0,86.95770433,96.34003835,1762,996.4574232,G0/G1,0.439582095,0.520945394,1.185092386,43,6.976744186,2.325581395,90.69767442,-82.55813953,55.3438621,0,-32.32444623,-1.205665924,Low,0,55.3438621
842,D2R1,80,HAoEC,CTRL,1,B002,64,842_64,637.7335052,833.3597938,Stressed,-71.19722239,10045,800.678,284.5199847,64.71774225,0.227462905,7,49.47279624,59.74480454,1,65.53682009,96.34003835,1940,1033.463514,G0/G1,0.378210498,0.464378101,1.227829748,45,11.11111111,8.888888889,80,-64.44444444,11.39360644,0.677500576,10.75867355,25.63876149,Low,0.056125803,12.07110702
842,D2R1,80,HAoEC,CTRL,1,B002,65,842_65,303.4577196,896.2602291,Stressed,0.430494114,12598,725.666,194.8742455,87.77278584,0.450407316,6,77.1640135,121.4019554,0,91.58796211,118.3060944,1833,976.4655577,G0/G1,0.294871242,0.418840031,1.420416682,41,14.63414634,2.43902439,82.92682927,-67.07317073,1.165880844,90.87109184,-27.1574001,1.494331109,Nuclear,0.987332473,92.03697269
